,Anno,Età,Obiettivo Prelievo (Nom.),Prelievo Effettivo (Nom.),Prelievo Effettivo (Reale),Fonte: Conto Corrente,Fonte: Vendita ETF,Vendita ETF (Rebalance),Pensione Pubblica (Nom.),Rendita FP (Nom.),Liquidazione FP (Nom.),Patrimonio Banca (Nom.),Patrimonio ETF (Nom.),Patrimonio FP (Nom.),Patrimonio Banca (Reale),Patrimonio ETF (Reale),Patrimonio FP (Reale),Variazione Netta Patrimonio %,Rendimento Portafoglio %
0,1,28,0,0,0,0,0,843.6997793566084,0,0,0,29809.699779356608,3312.1888643729567,1000,29108.37504048718,3234.2638933874646,976.4732706447751,0.881925491120998,-0.36992130651126803
1,2,29,0,0,0,0,0,2167.1043621341596,0,0,0,43934.62829435346,4882.533793498975,1934.5101086447678,41455.17075559488,4606.987244170584,1825.335731646558,0.47386408465249763,-0.3970227088084964
2,3,30,0,0,0,0,0,0,0,0,0,54617.680809232625,6068.631201025848,3052.8800268099603,49529.25233443122,5503.250259381248,2768.4600106465073,0.24313477913865736,-0.3612256468978075
3,4,31,0,0,0,0,0,4234.755387152694,0,0,0,70818.43619638532,7868.715132931702,4097.572039889665,62285.63606521107,6920.626229467896,3603.8621372520365,0.29662107850639635,-0.22874576557349485
4,5,32,0,0,0,0,0,364.10660141564586,0,0,0,83148.54279780097,9238.72697753344,5147.874474680628,71060.80173192522,7895.64463688058,4399.5008821224155,0.1741087104383845,-0.23063955497074357
5,6,33,0,0,0,0,0,1573.1708496207193,0,0,0,96687.71364742168,10743.079294157966,6151.395244553796,80716.26254685118,8968.473616316798,5135.271223802451,0.16283112600716304,-0.1898450507599871
6,7,34,0,0,0,0,0,0,0,0,0,107255.21329832722,11917.24592203636,7205.331660995691,87461.46289711901,9717.940321902115,5875.601085951504,0.10929516535514162,-0.19340014642588252
7,8,35,0,0,0,0,0,1933.7226257411112,0,0,0,121154.93592406833,13461.659547118703,8029.126369274172,97687.74646681121,10854.194051867911,6473.9191608604315,0.12959484390823436,-0.14985416071132884
8,9,36,0,0,0,0,0,5981.187633495563,0,0,0,139102.1235575639,15455.791506395988,8818.131747225705,108140.52674731606,12015.614083035118,6855.376378762442,0.1481341845184389,-0.10522237347549086
9,10,37,0,0,0,0,0,3305.7600663992453,0,0,0,154357.69985449553,17152.653735995904,9579.230817863523,116246.92328240737,12917.679032646858,7214.127387479479,0.10968340585803191,-0.11028979862758959
10,11,38,0,0,0,0,0,5381.0546063052025,0,0,0,171474.25696760687,19078.30605120008,11191.159278858337,125596.68110136528,13973.945497366896,8196.988212445684,0.11102658836434945,-0.08834370680322255
